Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,www.journeysbe.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.journeysbe.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.journeysbe.sentiance.com.txt
http,80,e6.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.e6.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.e6.sentiance.com.txt
http,80,e6.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.e6.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.e6.sentiance.com.txt
http,80,int.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.int.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.int.sentiance.com.txt
http,80,int.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.int.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.int.sentiance.com.txt
http,80,betadoc.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.betadoc.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.betadoc.sentiance.com.txt
http,80,cn.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.cn.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.cn.sentiance.com.txt
http,80,cn.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.cn.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.cn.sentiance.com.txt
http,80,api.p9.sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.api.p9.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.api.p9.sentiance.com.txt
http,80,no names were discovered,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.No names were discovered.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.No names were discovered.txt
